"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"208393713","01/23/2020","01:20:00","MANHATTAN","OUTSIDE","18","0","VEHICLE",,"986131","218089","40.765291","-73.993211"
"165101461","05/23/2017","20:03:00","MANHATTAN","INSIDE","18","0","COMMERCIAL","RESTAURANT/DINER","987093","218898","40.76751","-73.989736"
"239861893","01/29/2022","04:05:00","MANHATTAN","INSIDE","18","0","COMMERCIAL","BAR/NIGHT CLUB","984966","217543","40.763784","-73.997415"
"201034736","08/12/2019","03:10:00","MANHATTAN","OUTSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987917","221312","40.774136","-73.98676"
"10187490","01/17/2006","21:47:00","MANHATTAN","INSIDE","20","0","COMMERCIAL","FAST FOOD","989610","224478","40.782817","-73.980642"
"86107852","08/05/2012","23:30:00","MANHATTAN","OUTSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987554","221220","40.773874","-73.988068"
"285094095","04/10/2024","03:20:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000654","228899","40.794945","-73.940754"
"24856701","10/18/2006","12:50:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"23354074","07/02/2006","03:20:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000086","229653","40.797017","-73.942803"
"81199646","10/14/2011","20:53:00","MANHATTAN","OUTSIDE","23","0","STREET","MULTI DWELL - PUBLIC HOUS","999242","227082","40.789959","-73.945857"
"139686189","11/15/2014","17:58:00","MANHATTAN","OUTSIDE","23","2","HOUSING",,"1000846","226964","40.78962425","-73.94006674"
"76601148","12/26/2010","01:30:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998191","227814","40.791971","-73.949654"
"75652548","11/21/2010","01:10:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997971","226889","40.789433","-73.950451"
"63885692","07/19/2009","04:40:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999569","227672","40.79156983","-73.94467676"
"64452257","08/06/2009","13:26:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999746","225754","40.786315","-73.94404"
"64248604","07/30/2009","15:25:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001026","228838","40.794778","-73.939411"
"143907467","06/22/2015","23:45:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999464","226504","40.788374","-73.945059"
"94923071","02/14/2014","02:06:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999192","230148","40.798377","-73.946031"
"90938205","06/02/2013","13:24:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"91733357","07/21/2013","04:39:00","MANHATTAN","OUTSIDE","23","0","STREET","RESTAURANT/DINER","999706","228966","40.795122","-73.944177"
"86874696","09/21/2012","20:51:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001932","228925","40.795005","-73.936137"
"203348701","10/06/2019","21:54:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999210","227548","40.79124","-73.945972"
"169326573","09/13/2017","22:04:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999194","229090","40.7954625","-73.94602789"
"166413154","06/25/2017","02:02:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998191","227814","40.791971","-73.949654"
"156603442","09/10/2016","01:20:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000253","226668","40.788822","-73.942209"
"281438760","01/31/2024","13:04:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001808","228700","40.794398","-73.936587"
"150843338","03/01/2016","21:20:00","MANHATTAN","OUTSIDE","23","0","PLAYGROUND",,"1000497","229870","40.797602","-73.941319"
"233307768","09/08/2021","23:32:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998958","227092","40.789982","-73.946882"
"233762539","09/18/2021","19:41:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998288","227463","40.79099831","-73.94930342"
"218096534","09/19/2020","23:07:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.78845","-73.939372"
"221890614","12/15/2020","18:20:00","MANHATTAN","OUTSIDE","23","0","STREET","GROCERY/BODEGA","999894","228259","40.793181","-73.943498"
"298411322","12/23/2024","22:30:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000776","227613","40.791414","-73.940319"
"292556668","08/31/2024","00:04:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999154","226675","40.788844","-73.946176"
"239347884","01/18/2022","19:21:00","MANHATTAN","OUTSIDE","24","2","HOUSING","MULTI DWELL - PUBLIC HOUS","993952","229422","40.796382","-73.964958"
"46715551","05/24/2008","01:08:00","MANHATTAN","OUTSIDE","24","2","HOUSING","MULTI DWELL - PUBLIC HOUS","992079","226968","40.789656","-73.971725"
"94963879","02/17/2014","20:20:00","MANHATTAN","OUTSIDE","24","2","HOUSING",,"994138","229759","40.79730582","-73.96428727"
"186047185","08/05/2018","23:30:00","MANHATTAN","OUTSIDE","24","2","HOUSING","MULTI DWELL - PUBLIC HOUS","991870","227979","40.792433","-73.972481"
"228889112","05/30/2021","10:54:00","MANHATTAN","OUTSIDE","25","0","VEHICLE",,"1001692","231503","40.802083","-73.936999"
"29259597","05/27/2007","00:20:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002332","231147","40.801105","-73.934685"
"28392833","04/10/2007","18:00:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000805","230947","40.80055658","-73.94020499"
"16631465","05/24/2006","19:49:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001641","233513","40.80759794","-73.93717879"
"11118236","04/28/2006","02:15:00","MANHATTAN","OUTSIDE","25","0","STREET","NONE","1001446","234215","40.80952512","-73.93788139"
"79368050","06/18/2011","01:16:00","MANHATTAN","OUTSIDE","25","0","COMMERCIAL","FAST FOOD","1000925","230119","40.798286","-73.939772"
"80175373","08/07/2011","02:13:00","MANHATTAN","OUTSIDE","25","0","STREET","MULTI DWELL - APT BUILD","1001949","231211","40.801288","-73.936073"
"78492309","04/30/2011","02:52:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","BAR/NIGHT CLUB","1001189","230589","40.799582","-73.938818"
"87865309","11/27/2012","19:30:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001561","230531","40.799422","-73.937474"
"85935527","07/26/2012","10:46:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001354","234575","40.810524","-73.938214"
"85518941","06/30/2012","22:00:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000995","230244","40.79862668","-73.93952048"
"81360743","10/24/2011","15:17:00","MANHATTAN","OUTSIDE","25","0","STREET","MULTI DWELL - APT BUILD","999449","230610","40.799645","-73.945105"
"144134884","07/01/2015","02:50:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000622","233781","40.80833547","-73.94085905"
"147410682","11/01/2015","01:01:00","MANHATTAN","INSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002815","231286","40.801491","-73.932943"
"147052371","10/19/2015","16:17:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001375","231978","40.803394","-73.938144"
"143613870","06/10/2015","19:36:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000719","233430","40.807382","-73.940511"
"137473305","06/29/2014","01:52:00","MANHATTAN","OUTSIDE","25","0","PLAYGROUND",,"1001957","235144","40.81207395","-73.93603301"
"93932276","12/07/2013","23:40:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1002154","236547","40.815935","-73.935316"
"95375423","03/14/2014","17:16:00","MANHATTAN","OUTSIDE","25","0","STREET",,"999669","233072","40.80639118","-73.94430322"
"172635031","12/14/2017","20:24:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","1000344","230118","40.798292","-73.941871"
"212903586","05/10/2020","22:03:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001487","232707","40.805388","-73.937736"
"214184464","06/13/2020","23:02:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000844","233656","40.808003","-73.940056"
"208899478","02/02/2020","02:32:00","MANHATTAN","OUTSIDE","25","0","STREET",,"999520","230738","40.79998525","-73.94484675"
"194525846","03/09/2019","02:41:00","MANHATTAN","OUTSIDE","25",,"STREET",,"1000455","230842","40.800277","-73.94147"
"287444844","05/25/2024","02:32:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001768","234797","40.811131","-73.936716"
"265124476","03/14/2023","12:50:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000558","231080",,
"246884942","06/20/2022","00:36:00","MANHATTAN","OUTSIDE","25","0","PLAYGROUND",,"1000558","231080","40.80093037274","-73.94109824101"
"235857196","11/03/2021","02:25:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1002572","231625","40.802415","-73.933819"
"185759229","07/29/2018","01:23:00","MANHATTAN","OUTSIDE","26","0","STREET",,"995022","237567","40.81873559","-73.96108198"
"35386258","10/30/2007","01:30:00","MANHATTAN","OUTSIDE","26","0","STREET",,"998164","237273","40.81792425","-73.9497309"
"28926741","05/08/2007","23:44:00","MANHATTAN","INSIDE","26","0","COMMERCIAL","RESTAURANT/DINER","996462","235456","40.812941","-73.95588"
"26022837","12/31/2006","01:07:00","MANHATTAN","INSIDE","26","0","DWELLING",,"997349","235297","40.812512","-73.95268"
"23888267","08/14/2006","22:33:00","MANHATTAN","OUTSIDE","26","0","STREET",,"997177","234774","40.811076","-73.953303"
"71756683","03/15/2010","04:39:00","MANHATTAN","OUTSIDE","26","0","COMMERCIAL","RESTAURANT/DINER","996240","235791","40.813868","-73.956685"
"219056055","10/10/2020","00:55:00","MANHATTAN","OUTSIDE","26","0","STREET",,"996462","235456","40.812949","-73.955882"
"234756219","10/09/2021","16:24:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996795","233168","40.80666","-73.954684"
"32723805","06/23/2007","22:08:00","MANHATTAN","OUTSIDE","28","0","STREET","FAST FOOD","999409","233697","40.808118","-73.945239"
"66768828","10/13/2009","19:15:00","MANHATTAN","OUTSIDE","28","0","STREET",,"999473","232728","40.805457","-73.945012"
"50499452","08/24/2008","14:28:00","MANHATTAN","OUTSIDE","28","0","STREET","MULTI DWELL - APT BUILD","997405","230838","40.800264","-73.952483"
"46175319","05/04/2008","19:01:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996736","231658","40.802524","-73.9549"
"46421485","05/13/2008","20:55:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997391","231145","40.801116","-73.952533"
"37294917","12/26/2007","23:50:00","MANHATTAN","OUTSIDE","28","0","STREET","MULTI DWELL - APT BUILD","996781","234071","40.809148","-73.954733"
"74154671","08/15/2010","00:28:00","MANHATTAN","OUTSIDE","28","0","COMMERCIAL","RESTAURANT/DINER","999540","233934","40.808766","-73.944767"
"74374637","08/28/2010","17:15:00","MANHATTAN","OUTSIDE","28","0","HOUSING","MULTI DWELL - PUBLIC HOUS","998115","230303","40.798802","-73.949922"
"85976984","07/28/2012","00:42:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998050","232173","40.803929","-73.95015"
"158448771","11/13/2016","02:05:00","MANHATTAN","INSIDE","28","0","DWELLING",,"998811","233547","40.807706","-73.947399"
"153511460","05/27/2016","22:22:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996959","232155","40.803889","-73.954093"
"156345443","08/31/2016","19:32:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998890","231708","40.802659","-73.94712"
"147310276","10/27/2015","14:06:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997098","232701","40.805386","-73.953589"
"139128071","10/10/2014","20:15:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997413","230685","40.79984317","-73.95245706"
"229700089","06/17/2021","22:28:00","MANHATTAN","OUTSIDE","28","0","STREET","MULTI DWELL - APT BUILD","997192","231552","40.802225","-73.953252"
"212903273","05/09/2020","19:23:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996343","231877","40.80311641","-73.95631961"
"213386282","05/21/2020","01:09:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997911","232850","40.80578474","-73.95065395"
"208531435","01/25/2020","01:30:00","MANHATTAN","OUTSIDE","28","0","COMMERCIAL","RESTAURANT/DINER","999409","233697","40.808118","-73.945239"
"185483178","07/20/2018","23:44:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996469","232106","40.80374478","-73.95586407"
"287998198","03/15/2024","22:16:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998100","233193","40.806734","-73.94997"
"295721938","10/30/2024","19:39:00","MANHATTAN","OUTSIDE","28","0","DWELLING","MULTI DWELL - APT BUILD","999141","231108","40.801012","-73.946216"
"284940559","04/07/2024","14:00:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996216","231648","40.80248804","-73.95677874"
"277602230","11/15/2023","21:07:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996959","232155","40.803881","-73.954092"
"281865458","02/07/2024","19:16:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997144","230833","40.800259","-73.953428"
"242439531","03/21/2022","23:00:00","MANHATTAN","OUTSIDE","28","0","STREET","HOSPITAL","999016","231937","40.803278","-73.946662"
"24699539","10/08/2006","05:18:00","MANHATTAN","OUTSIDE","30","0","STREET",,"997324","239218","40.82326401","-73.9527619"
"219294107","10/15/2020","21:33:00","MANHATTAN","OUTSIDE","30","0","STREET",,"1000302","240881","40.82782356","-73.94199801"
"293107316","09/11/2024","01:47:00","MANHATTAN","OUTSIDE","30","0","STREET",,"998221","239909","40.825169","-73.949521"
"242493912","03/22/2022","19:42:00","MANHATTAN","OUTSIDE","30","0","STREET","MULTI DWELL - APT BUILD","998357","240153","40.825831","-73.949027"
"230311080","07/01/2021","13:50:00","MANHATTAN","OUTSIDE","30","0","STREET",,"996942","237602","40.818831","-73.954142"
"88614010","01/16/2013","18:36:00","MANHATTAN","OUTSIDE","30","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999961","242121","40.83123","-73.943226"
"92912301","10/03/2013","23:35:00","MANHATTAN","OUTSIDE","30","0","STREET",,"997745","238688","40.821818","-73.951243"
"73017571","06/03/2010","04:39:00","MANHATTAN","OUTSIDE","30","0","STREET",,"997963","240371","40.8264277","-73.95045075"
"81436544","10/28/2011","11:43:00","MANHATTAN","OUTSIDE","30","0","STREET","MULTI DWELL - APT BUILD","998995","241308","40.828999","-73.946717"
"73528809","07/04/2010","03:15:00","MANHATTAN","OUTSIDE","30","0","STREET",,"999139","240636","40.82715314","-73.94620092"
"33943269","08/23/2007","21:56:00","MANHATTAN","INSIDE","30","0","STREET","MULTI DWELL - APT BUILD","1000111","239937","40.825242","-73.942691"
"33500100","08/01/2007","01:02:00","MANHATTAN","OUTSIDE","30","0","COMMERCIAL","RESTAURANT/DINER","998791","241867","40.830543","-73.947457"
"302818234","03/14/2025","16:24:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001420","241474","40.829459","-73.937956"
"23846687","08/13/2006","10:31:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999965","235630","40.813421","-73.943227"
"23846694","08/13/2006","19:41:00","MANHATTAN","INSIDE","32","0","DWELLING","MULTI DWELL - APT BUILD","1001584","236571","40.816002","-73.937375"
"16895019","06/20/2006","23:26:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000126","238705","40.821862","-73.94264"
"10764208","03/21/2006","11:20:00","MANHATTAN","INSIDE","32","0","DWELLING","MULTI DWELL - APT BUILD","1001044","238505","40.82131","-73.939323"
"10333339","02/05/2006","13:08:00","MANHATTAN","INSIDE","32","0","COMMERCIAL","CHAIN STORE","1001506","238409","40.821046","-73.937653"
"300361353","01/31/2025","20:17:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998424","234705","40.810886","-73.948795"
"29388841","06/02/2007","21:24:00","MANHATTAN","INSIDE","32","0","COMMERCIAL","STORE UNCLASSIFIED","1000422","235526","40.813134","-73.941577"
"29259595","05/27/2007","03:21:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001767","241659","40.829965","-73.9367"
"25452384","11/23/2006","02:10:00","MANHATTAN","OUTSIDE","32","0","STREET","BAR/NIGHT CLUB","999256","235278","40.812448","-73.94579"
"61351689","05/02/2009","18:56:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999582","238563","40.82146259","-73.94460494"
"46361462","05/09/2008","23:50:00","MANHATTAN","INSIDE","32","0","DWELLING","MULTI DWELL - APT BUILD","1001179","238750","40.821982","-73.938833"
"74770362","09/24/2010","22:50:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999686","237911","40.81967285","-73.94423069"
"73037341","06/04/2010","00:16:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001901","238191","40.82043723","-73.9362273"
"69313202","12/28/2009","17:40:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999666","234161","40.80939","-73.944312"
"80166320","08/06/2011","14:13:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999130","235052","40.811835","-73.946245"
"75830568","12/03/2010","16:05:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999729","234275","40.80969298","-73.94408372"
"85744501","07/15/2012","01:55:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000553","235761","40.81378","-73.941103"
"141401452","03/15/2015","15:47:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001199","236927","40.81698","-73.938766"
"138694387","09/14/2014","03:25:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999792","234388","40.810014","-73.943856"
"164640801","05/10/2017","14:48:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000049","233801","40.8084","-73.942929"
"155995758","08/20/2016","23:44:00","MANHATTAN","OUTSIDE","32","0","PLAYGROUND",,"1001765","237948","40.81977053","-73.9367193"
"153615012","06/01/2016","22:45:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999587","234948","40.811551","-73.944594"
"216157963","08/03/2020","23:53:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001539","241249","40.828832","-73.937525"
"198552502","06/15/2019","04:14:00","MANHATTAN","INSIDE","32","0","STREET",,"999508","235734","40.813707","-73.944877"
"195699914","04/07/2019","01:45:00","MANHATTAN","OUTSIDE","32","0","COMMERCIAL","BAR/NIGHT CLUB","1001838","235971","40.814353","-73.936461"
"197381374","05/17/2019","21:36:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998922","235604","40.813352","-73.946996"
"174442122","02/06/2018","01:27:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001324","237153","40.817599","-73.938314"
"233761159","09/18/2021","19:58:00","MANHATTAN","OUTSIDE","32","0","STREET","GROCERY/BODEGA","1000535","237587","40.818784","-73.941161"
"169180021","09/08/2017","21:30:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999174","238490","40.82126292","-73.94607922"
"231941625","08/06/2021","23:20:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000049","233801","40.808392","-73.942928"
"221346749","12/04/2020","01:23:00","MANHATTAN","OUTSIDE","32","0","STREET","GROCERY/BODEGA","1001028","240331","40.826315","-73.939375"
"221424826","12/05/2020","20:30:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000000","238478","40.821229","-73.943093"
"218392075","09/25/2020","23:36:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001343","240901","40.8278765","-73.93823643"
"216843322","08/20/2020","01:44:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001324","237153","40.817599","-73.938314"
"277978380","11/23/2023","23:43:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001650","240575","40.826982","-73.937128"
"282423225","02/18/2024","03:56:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999508","235734","40.813707","-73.944877"
"272817658","08/12/2023","23:48:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998220","235265","40.812415","-73.949529"
"271052451","07/09/2023","18:52:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001370","238165","40.820368","-73.938143"
"245171560","05/16/2022","21:42:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999856","234503","40.81031855","-73.94362441"
"237362437","12/03/2021","20:01:00","MANHATTAN","INSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001774","241670","40.829988","-73.936675"
"140806570","02/02/2015","13:33:00","MANHATTAN","INSIDE","33","0","DWELLING","MULTI DWELL - APT BUILD","1001387","245170","40.839603","-73.938064"
"89279359","02/22/2013","18:54:00","MANHATTAN","OUTSIDE","33","0","STREET","GROCERY/BODEGA","1001348","246484","40.843209","-73.938202"
"80285499","08/13/2011","23:15:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000354","242831","40.833176","-73.941804"
"286523177","05/07/2024","14:26:00","MANHATTAN","OUTSIDE","1","0","STREET",,"982817","203638","40.725624","-74.005168"
"289111776","06/25/2024","05:12:00","MANHATTAN","OUTSIDE","1","0","STREET",,"983749","202352","40.722097","-74.001807"
"140340336","12/28/2014","19:10:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","985184","198230","40.710782","-73.996632"
"52214155","10/15/2008","19:13:00","MANHATTAN","INSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","984220","198452","40.711382","-74.000106"
"242046759","03/12/2022","06:00:00","MANHATTAN","OUTSIDE","5","0","STREET","STORE UNCLASSIFIED","984185","201363","40.719373","-74.000231"
"233199172","09/06/2021","18:00:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","986929","202081","40.721343","-73.990335"
"289173684","06/26/2024","19:48:00","MANHATTAN","OUTSIDE","7","0","HOUSING","MULTI DWELL - PUBLIC HOUS","989183","201182","40.718883","-73.982205"
"44445750","03/11/2008","22:55:00","MANHATTAN","OUTSIDE","7","0","STREET","MULTI DWELL - APT BUILD","988470","201467","40.719659","-73.984775"
"29059033","05/15/2007","22:11:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","990338","200781","40.71778","-73.978039"
"136506640","04/29/2014","16:56:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","988187","198539","40.71163","-73.9858"
"92587460","09/13/2013","04:31:00","MANHATTAN","INSIDE","7","0","DWELLING","MULTI DWELL - APT BUILD","988292","201010","40.718411","-73.98542"
"219862699","10/28/2020","17:21:00","MANHATTAN","INSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987481","198515","40.711555","-73.988342"
"268973599","05/28/2023","22:30:00","MANHATTAN","OUTSIDE","9","0","STREET",,"989869","202646","40.72289134683","-73.97972838539"
"47447795","06/22/2008","03:05:00","MANHATTAN","OUTSIDE","9","0","HOUSING","MULTI DWELL - PUBLIC HOUS","991373","203288","40.724661","-73.974302"
"73940040","08/02/2010","03:02:00","MANHATTAN","OUTSIDE","9","0","STREET",,"990477","203734","40.72587723","-73.9775339"
